City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,punta arenas,-53.15,-70.9167,4.060000000000002,70,40,9.26,CL,1712607049
76,birao,10.2849,22.7882,29.720000000000027,11,27,3.05,CF,1712607322
77,fale old settlement,-9.3852,-171.2468,29.890000000000043,76,100,5.9,TK,1712607322
78,isafjordur,66.0755,-23.124,-3.5399999999999636,89,96,9.46,IS,1712607157
79,alaghsas,17.0187,8.0168,33.07000000000005,10,100,4.7,NE,1712607053
80,atafu village,-8.5421,-172.5159,29.379999999999995,76,97,5.09,TK,1712607166
81,llerena,38.2354,-6.0739,10.240000000000009,69,0,6.32,ES,1712607323
82,tarana,23.3333,76.0333,27.860000000000014,30,89,3.74,IN,1712607323
83,nemuro,43.3236,145.575,5.410000000000025,99,100,7.11,JP,1712607324
84,marsh harbour,26.5412,-77.0636,21.370000000000005,61,23,7.4,BS,1712607324
85,thunder bay,48.4001,-89.3168,3.0600000000000023,97,100,4.74,CA,1712607217
86,ilulissat,69.2167,-51.1,-8.609999999999957,93,80,2.36,GL,1712607324
87,camiri,-20.05,-63.5167,29.480000000000018,53,100,3.62,BO,1712607324
88,gwarzo,11.9152,7.9346,31.5,11,100,4.04,NG,1712607324
89,ryotsu-minato,38.0833,138.4333,10.410000000000025,85,100,6.27,JP,1712607325
90,labrador city,52.9463,-66.9114,-0.45999999999997954,48,100,0.45,CA,1712607161
91,bredasdorp,-34.5322,20.0403,15.879999999999995,95,100,7.31,ZA,1712607325
92,cozumel,20.5083,-86.9458,30.04000000000002,62,75,6.17,MX,1712607166
93,canto do buriti,-8.11,-42.9444,30.890000000000043,49,50,2.95,BR,1712607326
94,nangomba,-10.9,38.5,22.410000000000025,94,100,0.72,TZ,1712607326
95,egilsstadir,65.2653,-14.3948,0.9500000000000455,93,100,6.17,IS,1712607326
96,kidatu,-7.6992,36.9572,22.25,96,98,0.81,TZ,1712607326
97,diego de almagro,-26.3667,-70.05,27.950000000000045,17,0,4.59,CL,1712607296
98,viedma,-40.8135,-62.9967,27.05000000000001,25,100,7.91,AR,1712607140
99,callao,-12.0667,-77.15,26.160000000000025,65,0,5.14,PE,1712607142
100,roscommon,53.6333,-8.1833,6.180000000000007,88,100,5.08,IE,1712607327
101,puerto ayacucho,5.6639,-67.6236,34.53000000000003,39,93,1.37,VE,1712607327
102,karystos,38.0133,24.4161,17.55000000000001,70,0,6.18,GR,1712607278
103,utrik,11.2278,169.8474,26.660000000000025,84,100,10.25,MH,1712607160
104,hawaiian paradise park,19.5933,-154.9731,21.129999999999995,97,100,4.12,US,1712607125
105,invercargill,-46.4,168.35,15.57000000000005,76,100,2.24,NZ,1712607153
106,yarmouth,41.7057,-70.2286,13.689999999999998,51,0,5.14,US,1712607327
107,kiunga,-6.1219,141.2906,23.79000000000002,100,100,0.64,PG,1712607317
108,medina de pomar,42.9294,-3.488,8.07000000000005,79,100,4.99,ES,1712607328
109,aasiaat,68.7098,-52.8699,-6.239999999999952,86,95,1.86,GL,1712607289
110,natal,-5.795,-35.2094,28.360000000000014,78,40,1.54,BR,1712607186
111,lijiang,26.8688,100.2207,7.670000000000016,91,11,2.15,CN,1712607296
112,ronda,36.7423,-5.1671,12.120000000000005,94,76,3.14,ES,1712607328
113,shilin,24.8188,103.3324,15.240000000000009,73,4,2.15,CN,1712607328
114,myitkyina,25.3833,97.4,22.720000000000027,63,98,2.13,MM,1712607329
115,adrar,20.5022,-10.0711,25.879999999999995,19,0,5.68,MR,1712607329
116,vorgashor,67.5833,63.95,-23.99999999999997,100,48,2.07,RU,1712607145
117,andovoranto,-18.95,49.1,23.77000000000004,84,24,0.45,MG,1712607329
118,iskateley,67.6803,53.1512,-18.879999999999967,100,81,2.24,RU,1712607200
119,afaahiti,-17.75,-149.2833,29.930000000000007,83,83,5.9,PF,1712607140
120,lebork,54.5392,17.7501,15.75,82,35,2.12,PL,1712607330
121,aykhal,66.0,111.5,-12.479999999999961,83,72,6.01,RU,1712607330
122,badger,64.8,-147.5333,1.3100000000000023,76,75,2.06,US,1712607330
123,seven pagodas,12.6264,80.1722,29.03000000000003,77,2,4.11,IN,1712607331
124,camarinas,43.1311,-9.1817,11.07000000000005,63,4,8.62,ES,1712607331
125,yellowknife,62.456,-114.3525,3.5600000000000023,76,75,5.14,CA,1712607331
126,mount pearl,47.5166,-52.7813,-0.47999999999996135,93,100,9.26,CA,1712607307
127,kataysk,56.289,62.5841,0.9200000000000159,86,97,3.5,RU,1712607331
128,dudinka,69.4058,86.1778,-7.399999999999977,96,100,5.81,RU,1712607113
129,klyuchi,52.2667,79.1667,11.03000000000003,82,100,5.85,RU,1712607332
130,anadyr,64.75,177.4833,-15.71999999999997,85,0,6.0,RU,1712607332
131,chonchi,-42.6128,-73.8092,12.29000000000002,70,91,2.57,CL,1712607170
132,springfield,37.2153,-93.2982,26.210000000000036,28,0,5.14,US,1712607332
133,karratha,-20.7377,116.8463,27.420000000000016,35,94,6.86,AU,1712607333
134,dourados,-22.2211,-54.8056,29.400000000000034,56,100,1.0,BR,1712607128
135,tindouf,27.6711,-8.1474,23.960000000000036,34,0,8.19,DZ,1712607333
136,ribeira grande,38.5167,-28.7,17.220000000000027,94,40,5.81,PT,1712607333
137,colonia,50.9333,6.95,19.420000000000016,67,69,1.8,DE,1712607232
138,holualoa,19.6228,-155.9522,24.200000000000045,77,75,3.6,US,1712607334
139,hithadhoo,-0.6,73.0833,29.400000000000034,71,98,2.49,MV,1712607161
140,castillos,-34.1667,-53.8333,21.650000000000034,79,56,3.32,UY,1712607184
141,talnakh,69.4865,88.3972,-7.659999999999968,95,100,3.5,RU,1712607334
142,hami,42.8,93.45,13.32000000000005,24,69,1.01,CN,1712607334
143,port elizabeth,-33.918,25.5701,18.390000000000043,96,77,7.15,ZA,1712607334
144,quellon,-43.1167,-73.6167,10.430000000000007,59,27,5.87,CL,1712607109
145,st. john's,47.5649,-52.7093,-0.01999999999998181,92,100,9.83,CA,1712607318
146,namibe,-15.1961,12.1522,22.670000000000016,78,87,1.64,AO,1712607335
147,inhambane,-23.865,35.3833,23.120000000000005,83,100,2.48,MZ,1712607190
148,birine,35.635,3.225,22.629999999999995,30,100,4.04,DZ,1712607335
149,uige,-7.6087,15.0613,20.160000000000025,99,87,1.25,AO,1712607335
150,pyetrykaw,52.1289,28.4921,13.890000000000043,72,100,2.83,BY,1712607335
151,saint helier,49.188,-2.1049,11.360000000000014,50,75,12.35,JE,1712607336
152,puerto deseado,-47.7503,-65.8938,7.560000000000002,64,100,11.83,AR,1712607336
153,kourou,5.1552,-52.6478,31.03000000000003,65,63,3.18,GF,1712607336
154,howrah,22.5892,88.3103,25.0,65,40,2.57,IN,1712607172
155,arenzano,44.4052,8.6832,17.660000000000025,53,0,2.24,IT,1712607336
156,am timan,11.0297,20.2827,34.74000000000001,26,97,3.94,TD,1712607336
157,hasaki,35.7333,140.8333,17.939999999999998,98,100,9.77,JP,1712607336
158,jardim,-21.4803,-56.1381,32.400000000000034,48,100,1.04,BR,1712606765
159,kimbe,-5.5502,150.1429,24.920000000000016,95,100,0.42,PG,1712607337
160,jahanabad,25.2167,84.9833,27.910000000000025,46,46,5.2,IN,1712607337
